capres,provinsi,prov.asli,no.urut,suara,persen,latitude,longitude,warna,total.suara,dpt,partisipasi,sig.wil
Jokowi,Papua Barat,Papua Barat,2,360381,67.51,-4.269.928,1.380.803.529,#DE0D0D,533809,709825,75.2,0.380461981102747
Prabowo,Riau,Riau,1,1349338,50.12,0.2933469,1.017.068.294,#0033FF,2692155,4090208,65.82,2.1923271775470075
Jokowi,Riau,Riau,2,1342817,49.88,0.2933469,1.017.068.294,#DE0D0D,2692155,4090208,65.82,2.1923271775470075
Prabowo,Sulbar,Sulawesi Barat,1,165494,26.63,-28.441.371,1.192.320.784,#0033FF,621515,880621,70.58,0.472007621964121
Jokowi,Sulbar,Sulawesi Barat,2,456021,73.37,-28.441.371,1.192.320.784,#DE0D0D,621515,880621,70.58,0.472007621964121
Prabowo,Sulsel,Sulawesi Selatan,1,1215135,28.57,-36.687.994,1.199.740.534,#0033FF,4252161,6281704,67.69,3.3669560082288594
Jokowi,Sulsel,Sulawesi Selatan,2,3037026,71.43,-36.687.994,1.199.740.534,#DE0D0D,4252161,6281704,67.69,3.3669560082288594
Prabowo,Sulteng,Sulawesi Tengah,1,631859,45.13,-14.300.254,1.214.456.179,#0033FF,1399950,1909893,73.3,1.023691296410057
Jokowi,Sulteng,Sulawesi Tengah,2,768091,54.87,-14.300.254,1.214.456.179,#DE0D0D,1399950,1909893,73.3,1.023691296410057
Prabowo,Sultra,Sulawesi Tenggara,1,511134,45.01,-414.491,122.174.605,#0033FF,1133351,1782424,63.58,0.9553686700314623
Jokowi,Sultra,Sulawesi Tenggara,2,622217,54.09,-414.491,122.174.605,#DE0D0D,1133351,1782424,63.58,0.9553686700314623
Prabowo,Sulut,Sulawesi Utara,1,620095,46.12,0.6246932,1.239.750.018,#0033FF,1344648,1866320,72.05,1.000336427389397
Jokowi,Sulut,Sulawesi Utara,2,724553,53.88,0.6246932,1.239.750.018,#DE0D0D,1344648,1866320,72.05,1.000336427389397
Prabowo,Sumbar,Sumatera Barat,1,1797505,76.92,-0.7399397,1.008.000.051,#0033FF,2336813,3643900,64.13,1.9531087422115307
Jokowi,Sumbar,Sumatera Barat,2,539308,23.08,-0.7399397,1.008.000.051,#DE0D0D,2336813,3643900,64.13,1.9531087422115307
Prabowo,Sumsel,Sumatera Selatan,1,2132163,51.26,-33.194.374,103.914.399,#0033FF,4159212,5742043,72.43,3.077700919743825
Jokowi,Sumsel,Sumatera Selatan,2,2027049,48.74,-33.194.374,103.914.399,#DE0D0D,4159212,5742043,72.43,3.077700919743825
Prabowo,Sumut,Sumatera Utara,1,2831514,44.76,21.153.547,995.450.974,#0033FF,6326349,9793721,64.6,5.24937624629673
Jokowi,Sumut,Sumatera Utara,2,3494835,55.23,21.153.547,995.450.974,#DE0D0D,6326349,9793721,64.6,5.24937624629673
